,time,iq,wm,thm
0,1.91e-07,0.0,-35.88239,-7.5272403
1,0.005009179,-1.0,-35.542248,-7.560666
2,0.010011697,-1.0,-31.787449,-7.5873375
3,0.015014202,-1.0,-31.214254,-7.5096445
4,0.020019941,1.0,-27.15921,-7.4917674
5,0.025035802,-1.0,-30.3998,-7.402389
6,0.03004292,1.0,-30.820536,-7.371914
7,0.035049267,1.0,-29.833464,-7.262397
8,0.040058788,1.0,-31.01482,-7.262616
9,0.04506125,-1.0,-24.676926,-7.203553
10,0.05006373,1.0,-27.933126,-7.125609
11,0.055066276,-1.0,34.762928,-7.0510893
12,0.060074992,1.0,31.353477,-7.0596647
13,0.06508826,1.0,2.362852,-6.9675217
14,0.070090726,1.0,-1.0900745,-6.772051
15,0.0750931,1.0,-18.03022,-6.6185513
16,0.08009557,1.0,-7.1602745,-6.3163295
17,0.08509935,1.0,-17.445831,-6.0592823
18,0.09010388,-1.0,-17.547432,-5.831108
19,0.09511322,-1.0,-13.189703,-5.550971
20,0.100124344,1.0,-13.171747,-5.143161
21,0.10513103,1.0,-21.93353,-4.831858
22,0.11013361,1.0,-25.84654,-4.7323327
23,0.11513788,-1.0,82.95468,-4.617506
24,0.12014887,-1.0,133.96469,-4.459797
25,0.12515147,-1.0,45.370773,-4.1555643
26,0.13015823,-1.0,-5.905205,-3.9875503
27,0.13516808,1.0,-16.091373,-3.8411827
28,0.14017324,1.0,-20.656763,-3.7041457
29,0.14518175,-1.0,-17.768265,-3.5536308
30,0.15019281,-1.0,-16.003435,-3.3453107
31,0.15520011,-1.0,-15.642704,-3.1493063
32,0.16026907,1.0,-8.021202,-2.7611609
33,0.16527143,-1.0,-11.942835,-2.4271774
34,0.17029117,1.0,-20.094206,-2.2938156
35,0.17530636,-1.0,65.04595,-2.2038083
36,0.18030879,-1.0,72.57509,-2.068499
37,0.18532655,1.0,-13.038902,-1.9838943
38,0.19034204,-1.0,-31.72282,-2.050527
39,0.19534644,1.0,-33.10486,-2.1497688
40,0.2003586,1.0,-33.529293,-2.332734
41,0.20536113,1.0,-36.474495,-2.571086
42,0.2103652,1.0,-24.17476,-2.6675317
43,0.21536772,-1.0,-28.695652,-2.7979069
44,0.22037153,-1.0,-27.92147,-2.925109
45,0.22538136,-1.0,-22.707794,-2.953131
46,0.23038788,-1.0,-14.687658,-2.8417916
47,0.23539583,-1.0,280.677,-2.5370564
48,0.24040632,-1.0,205.9064,-2.2393582
49,0.24541175,-1.0,104.97035,-1.7685266
50,0.25041637,1.0,19.342913,-1.4051375
51,0.2554315,1.0,1.5071621,-1.0751755
52,0.2604348,-1.0,-9.688911,-0.8633995
53,0.26543733,-1.0,-3.307413,-0.67710185
54,0.27043992,-1.0,-5.9581814,-0.38590693
55,0.2754424,-1.0,-6.674181,-0.10702658
56,0.28044492,-1.0,-11.530085,0.13195586
57,0.28545162,1.0,-4.097868,0.49496746
58,0.29045624,1.0,-4.8639374,0.872839
59,0.29546815,1.0,547.44025,1.5170243
60,0.30087247,-1.0,88.889984,2.0107265
61,0.30587494,1.0,92.00739,2.4571788
62,0.3108775,1.0,24.303083,2.8929186
63,0.31588003,1.0,18.891531,3.2636907
64,0.3208829,1.0,7.144106,3.6987076
65,0.32588926,-1.0,12.347637,4.2648554
66,0.33089486,-1.0,2.8207588,4.8526483
67,0.33590227,1.0,1.355072,5.304693
68,0.34090883,-1.0,1.9896297,5.833707
69,0.34591132,1.0,12.502724,6.377863
70,0.35091668,-1.0,7.0211143,6.9990826
71,0.35591924,1.0,690.6318,7.915455
72,0.36092877,-1.0,349.19412,8.468941
73,0.36593136,-1.0,189.7059,9.1840315
74,0.37093583,1.0,39.90766,9.752818
75,0.37593836,1.0,19.903402,10.232415
76,0.38094753,1.0,23.095743,10.822406
77,0.38595438,1.0,18.97313,11.405363
78,0.3909684,-1.0,12.904322,12.06604
79,0.39597124,1.0,23.964006,12.751097
80,0.4009738,-1.0,9.610924,13.395533
81,0.40597638,-1.0,10.16571,14.012009
82,0.41098186,-1.0,-0.0044898987,14.466881
83,0.41598666,1.0,-23.16421,14.63615
84,0.4209892,-1.0,-100.6559,14.505713
85,0.42599672,-1.0,-93.67809,14.197335
86,0.43099922,-1.0,-51.206326,13.8323145
87,0.43600535,1.0,-48.172287,13.376281
88,0.44101158,-1.0,-48.95954,12.782993
89,0.44601697,-1.0,-32.24138,12.27327
90,0.45102605,-1.0,-26.434696,11.865776
91,0.4560442,1.0,-30.393122,11.565754
92,0.46105343,-1.0,-31.882174,11.115438
93,0.46606016,-1.0,-31.111328,10.543104
94,0.4710704,1.0,-33.859547,10.0139675
95,0.47608438,-1.0,-505.13712,9.270637
96,0.48109886,1.0,-281.45163,8.79877
97,0.4861052,-1.0,-61.057182,8.543139
98,0.49111885,-1.0,-41.8061,8.229138
99,0.4961213,1.0,-16.328556,8.022486
100,0.5011285,1.0,-13.432815,7.9719067
101,0.5061309,-1.0,-20.084566,7.745241
102,0.51113933,1.0,-22.129866,7.3981915
103,0.5161418,1.0,-24.596262,7.0872364
104,0.52114415,-1.0,-13.5920105,6.826706
105,0.526153,-1.0,-13.087225,6.7381463
106,0.53115994,-1.0,-19.347898,6.578334
107,0.53616804,1.0,-378.9235,6.1219244
108,0.54117036,1.0,-320.054,5.6344748
109,0.54618466,1.0,-102.25328,5.1975756
110,0.55119497,1.0,-67.76199,4.6921253
111,0.5562017,1.0,-35.03544,4.1994615
112,0.5612112,-1.0,-15.090549,3.9478528
113,0.56621623,-1.0,-18.56237,3.6750374
114,0.57121867,1.0,-19.36492,3.3111165
115,0.576232,-1.0,-20.92308,3.0276523
116,0.5812345,1.0,-18.484747,2.7037232
117,0.58624345,1.0,-10.722511,2.497416
118,0.59124637,-1.0,-7.014473,2.3665066
119,0.59624875,-1.0,-347.3001,2.0359182
120,0.6012522,1.0,-335.03442,1.5649939
121,0.60625464,-1.0,-181.28198,0.9309907
122,0.61127675,-1.0,-83.65755,0.23296118
123,0.61627924,1.0,-46.284096,-0.4928398
124,0.6212817,-1.0,-43.85723,-1.1470442
125,0.62629104,1.0,-26.880775,-1.7136292
126,0.63130563,-1.0,-22.283361,-2.1352305
127,0.63631606,1.0,-18.668573,-2.5677643
128,0.641325,-1.0,-20.288155,-2.9140296
129,0.64632744,-1.0,-14.033825,-3.2926536
130,0.6513395,-1.0,-18.21581,-3.5690184
131,0.6563425,-1.0,-358.154,-4.0745625
132,0.66134495,-1.0,-139.19922,-4.319448
133,0.66635334,-1.0,-62.933655,-4.564209
134,0.6713589,1.0,-37.863297,-4.847014
135,0.67636144,-1.0,-16.382818,-5.1220593
136,0.68136376,1.0,-6.621567,-5.3018517
137,0.6863734,-1.0,-3.4209957,-5.325161
138,0.6914968,1.0,-0.6155553,-5.4038887
139,0.6964994,1.0,4.3605995,-5.359277
140,0.7015019,1.0,2.524936,-5.3758636
141,0.7065043,-1.0,2.690117,-5.3949323
142,0.71152484,-1.0,9.454773,-5.3469276
143,0.71653163,1.0,178.5797,-5.056864
144,0.7215382,1.0,-22.15508,-5.0678577
145,0.72654796,1.0,-14.0481415,-5.1667233
146,0.7315531,-1.0,-3.4209766,-5.258645
147,0.73656315,-1.0,13.992033,-5.2362127
148,0.7415728,-1.0,6.9986467,-5.0825253
149,0.7465826,-1.0,3.5729613,-5.0635176
150,0.7515935,1.0,2.9626746,-5.0336084
151,0.756596,-1.0,1.9411621,-5.0046105
152,0.761974,1.0,9.357147,-4.957674
153,0.76697654,-1.0,5.9350643,-4.8580537
154,0.7719807,-1.0,12.845245,-4.7573957
155,0.7769913,-1.0,194.12523,-4.4313293
156,0.7819939,1.0,-2.945034,-4.3813133
157,0.78699636,1.0,-11.942551,-4.445747
158,0.7919988,-1.0,0.04737854,-4.5407476
159,0.79700136,1.0,4.656069,-4.59783
160,0.80200386,1.0,-2.8350792,-4.6992702
161,0.8070063,1.0,0.11036587,-4.8927283
162,0.81201154,1.0,-4.616413,-5.0773277
163,0.81701404,-1.0,-8.489437,-5.340058
164,0.822018,1.0,-5.036564,-5.692292
165,0.8270288,1.0,0.20910072,-5.9004846
166,0.8320314,1.0,0.21052551,-6.1687126
167,0.8370353,1.0,-130.76938,-6.4524293
168,0.8420379,-1.0,18.970718,-6.536811
169,0.84704036,1.0,29.871433,-6.479665
170,0.85204345,1.0,26.622742,-6.3833423
171,0.8570562,1.0,33.861774,-6.1823735
172,0.8620661,1.0,31.675331,-5.8462853
173,0.86707103,-1.0,25.971928,-5.5772386
174,0.8720828,-1.0,18.84951,-5.322203
175,0.87709427,1.0,14.769161,-5.2042036
176,0.88209677,-1.0,20.77493,-5.0330486
177,0.8870993,1.0,19.61011,-4.839682
178,0.89212126,1.0,16.97839,-4.6689677
179,0.8971238,-1.0,268.38992,-4.4281325
180,0.9021362,-1.0,186.06458,-4.1602783
181,0.90713865,-1.0,90.89511,-3.9001856
182,0.91214114,-1.0,61.1752,-3.5187316
183,0.91715604,-1.0,41.128567,-3.1287656
184,0.9221585,1.0,29.242424,-2.7980795
185,0.92716914,1.0,21.997366,-2.5246344
186,0.93217164,1.0,28.887457,-2.2496185
187,0.93718314,1.0,29.420364,-1.9215412
188,0.94218576,1.0,38.654922,-1.4145193
189,0.9471882,-1.0,40.373905,-0.89992476
190,0.9521961,1.0,39.996445,-0.4853282
191,0.9572042,1.0,491.34558,0.1328125
192,0.9622068,-1.0,456.8821,0.71890926
193,0.9672094,1.0,180.01994,1.2887955
194,0.97221196,1.0,87.07726,1.9092927
195,0.9772144,1.0,57.815094,2.447102
196,0.982225,1.0,61.570747,3.1693869
197,0.9872318,1.0,38.90203,3.7284975
198,0.9922346,1.0,36.721695,4.174888
199,0.99723715,-1.0,43.919838,4.788944
200,1.0022439,1.0,42.92181,5.3550277
201,1.0072463,1.0,42.91024,6.0267963
202,1.0122489,-1.0,46.66769,6.7199264
203,1.0172569,-1.0,740.813,7.646446
204,1.0222659,-1.0,341.22498,8.195503
205,1.0272756,1.0,63.75302,8.435867
206,1.0322781,-1.0,1.6135597,8.378252
207,1.0372858,-1.0,-7.0582447,8.081905
208,1.0422883,-1.0,-8.267195,7.616355
209,1.047292,1.0,-13.084208,7.0873117
210,1.0522945,1.0,-13.959341,6.451423
211,1.0573173,1.0,-11.302263,5.7185855
212,1.0623198,-1.0,-2.4604454,5.087408
213,1.0673223,-1.0,2.1849575,4.587551
214,1.0723246,-1.0,-1.9100456,4.1533527
215,1.0773342,-1.0,-721.3523,3.275906
216,1.0823892,1.0,-368.54486,2.6207585
217,1.0873957,1.0,-149.10725,1.9384065
218,1.0924025,-1.0,-43.56505,1.2695298
219,1.0974051,-1.0,-15.024054,0.6402707
220,1.102414,1.0,0.35084343,0.23224163
221,1.1074272,-1.0,1.514204,-0.24314308
222,1.1124374,-1.0,11.221325,-0.5830941
223,1.1174399,1.0,8.20603,-0.7898412
224,1.1224424,1.0,4.149887,-1.1871567
225,1.1274449,1.0,5.429985,-1.6895285
226,1.1324558,1.0,2.0813942,-2.1522217
227,1.1374583,-1.0,-184.36009,-2.5993314
228,1.1424608,-1.0,-119.3514,-2.843903
229,1.1474633,1.0,-86.206116,-3.249545
230,1.1525291,-1.0,-42.282433,-3.7673101
231,1.15754,1.0,-27.022604,-4.376558
232,1.1625426,1.0,-10.606596,-4.940693
233,1.1675451,-1.0,-2.1270084,-5.5933895
234,1.1725476,-1.0,4.0980797,-6.178572
235,1.1775501,1.0,12.187656,-6.5322833
236,1.1825525,1.0,1.4820786,-6.9392443
237,1.1875551,-1.0,7.355587,-7.4221997
238,1.1925609,1.0,7.7155533,-7.841382
239,1.1975635,-1.0,-345.64066,-8.377085
